province,year,cpi,disposable_income_rural_per_cap,disposable_income_urban_per_cap,gdp_province,num_foreign_funded_enterprise,num_priv_enterprise,num_state_owned_enterprise,patent_apps,population_province,registered_unemployed,student_enrollment,foreign_total_investment,r.d_expenditure,r.d_projects,r.d_workers,sales_value_industry,export_industry,tech_market_value
Beijing,2020,101.7,30126,75602,38503.6,32545,1030,650,13078,2189,29,60.89,646907,2974157,8290,46172,NA,NA,6316.16
Beijing,2019,102.3,28928,73849,37767,32201,1047,656,11543,2190,7.4,60.15,599561,2851859,7671,44241,NA,NA,5695.28
Beijing,2018,102.5,26490,67990,35161.4,32306,1022,629,10386,2192,7.9,59.49,547718,2740103,7039,46929,NA,NA,4957.82
Beijing,2017,101.9,24240,62406,31325.9,31442,1004,664,10119,2194,8.1,59.29,486409,2690851,7904,52719,18269.5,1004,4486.89
Beijing,2016,101.4,22310,57275,28438.7,30401,1047,697,9392,2195,8,59.92,427371,2548433,7262,51143,17837.5,956.8,3940.98
Beijing,2015,101.8,20569,52859,26034.1,29396,1093,745,10281,2188,7.8,60.36,380963,2440875,7554,50773,17279.27,1078.39,3453.89
Beijing,2014,101.6,18867,48532,23577.5,28041,1143,765,9835,2171,7.4,60.46,201027,2335010,9010,57761,18228.21,1426.88,3137.19
Beijing,2013,103.3,17101,44564,21746,27061,1079,775,9240,2125,7.5,59.89,177105,2130618,10037,58036,17186.6,1506.72,2851.72
Beijing,2012,103.3,15365,40306,19568.3,26535,1043,790,10318,2078,8.1,59.12,149355,1973442,8226,53510,15446.65,1516.52,2458.5
Beijing,2011,105.6,13742,36365,17653.3,25672,1046,781,6997,2024,8.1,58.79,134364,1648538,7048,49829,14357.44,1535.96,1890.28
Beijing,2010,102.4,12368,32132,15420.2,24853,2465,1009,NA,1962,7.7,58.71,119206,NA,NA,NA,13526.57,1641.68,1579.54
Beijing,2009,98.5,10942,29329,13335.7,23293,2354,1058,3573,1860,8.2,58.67,106600,1137030,7494,41546,10904.37,1520.91,1236.25
Beijing,2008,105.1,10052,26918,12167.6,22485,2354,1116,4256,1771,10.3,58.56,98295,1010862,10320,43209,10304.16,1788.34,1027.22
Beijing,2007,102.4,8948,23752,10730.4,13237,1958,1104,NA,1676,10.6,57.82,87621,NA,NA,NA,9509.17,1869.97,882.56
Beijing,2006,100.9,7888,21415,8618.9,12064,1666,1469,NA,1601,10.4,56.58,69700,NA,NA,NA,8142.83,1531.4,697.33
Beijing,2005,101.5,7041,18775,7327.4,10980,1504,1745,NA,1538,10.6,54.83,60670,NA,NA,NA,6799.85,1136.09,489.59
Beijing,2004,101,5948,16502,6424.1,9890,1706,2144,931,1493,6.5,49.95,53162,602546,3409,29998,5616.08,695.6,425
Beijing,2003,100.2,5429,14535,5400.1,9185,556,1362,NA,1456,7,45.45,46328,NA,NA,NA,3728.97,408.41,265.36
Beijing,2002,98.2,5259,12949,4634.9,9172,513,1866,NA,1423,6,39.57,45495,NA,NA,NA,3150.19,323.1,221.17
Beijing,2001,103.1,4921,11939,3935.4,8818,344,2173,NA,1385,5,33.65,42925,NA,NA,NA,2855.49,298.25,191.01
Beijing,2000,103.5,4533,10590,3328,8495,184,2430,NA,1364,3.3,28.03,40246,NA,NA,NA,2461.42,251.65,140.29
Tianjin,2020,102,25691,47659,14230.8,15151,2780,459,6060,1387,27,57.22,306423,2287717,12001,45227,NA,NA,1089.56
Tianjin,2019,102.7,24804,46119,14097.2,15290,2366,476,4676,1385,26.1,53.94,310544,2134320,10825,45685,NA,NA,909.25
