province,year,cpi,disposable_income_rural_per_cap,disposable_income_urban_per_cap,gdp_province,num_foreign_funded_enterprise,num_priv_enterprise,num_state_owned_enterprise,patent_apps,population_province,registered_unemployed,student_enrollment,foreign_total_investment,r.d_expenditure,r.d_projects,r.d_workers,sales_value_industry,export_industry,tech_market_value,Court_Year,treated,ever_treated,rel_time,fti_pc,num_priv_enterprise_pc,patent_apps_pc,r.d_expenditure_pc,r.d_workers_pc,student_enrollment_pc,export_intensity,tech_value_pc,gdp_log
Beijing,2020,101.7,30126,75602,38503.6,32545,1030,650,13078,2189,29,60.89,646907,2974157,8290,46172,NA,NA,6316.16,2014,1,1,6,295.5262677021471,0.47053449063499314,5.974417542256738,1358.6829602558246,21.092736409319325,0.027816354499771587,NA,2.8854088624942897,10.558507022397922
Beijing,2019,102.3,28928,73849,37767,32201,1047,656,11543,2190,7.4,60.15,599561,2851859,7671,44241,NA,NA,5695.28,2014,1,1,5,273.7721461187215,0.4780821917808219,5.270776255707762,1302.2187214611872,20.2013698630137,0.027465753424657534,NA,2.6005844748858444,10.539190984434368
Beijing,2018,102.5,26490,67990,35161.4,32306,1022,629,10386,2192,7.9,59.49,547718,2740103,7039,46929,NA,NA,4957.82,2014,1,1,4,249.8713503649635,0.46624087591240876,4.7381386861313866,1250.046989051095,21.409215328467152,0.027139598540145988,NA,2.261779197080292,10.46770416898137
Beijing,2017,101.9,24240,62406,31325.9,31442,1004,664,10119,2194,8.1,59.29,486409,2690851,7904,52719,18269.5,1004,4486.89,2014,1,1,3,221.69963536918868,0.4576116681859617,4.6121239744758435,1226.4589790337284,24.028714676390155,0.02702370100273473,18.19671314741036,2.045072926162261,10.352200510397031
Beijing,2016,101.4,22310,57275,28438.7,30401,1047,697,9392,2195,8,59.92,427371,2548433,7262,51143,17837.5,956.8,3940.98,2014,1,1,2,194.7020501138952,0.47699316628701594,4.27881548974943,1161.017312072893,23.299772209567198,0.027298405466970387,18.642872073578594,1.7954350797266514,10.255506172605202
Beijing,2015,101.8,20569,52859,26034.1,29396,1093,745,10281,2188,7.8,60.36,380963,2440875,7554,50773,17279.27,1078.39,3453.89,2014,1,1,1,174.11471663619744,0.49954296160877515,4.698811700182816,1115.5735831809873,23.205210237659962,0.027586837294332724,16.023210526803844,1.5785603290676415,10.167162496149857
Beijing,2014,101.6,18867,48532,23577.5,28041,1143,765,9835,2171,7.4,60.46,201027,2335010,9010,57761,18228.21,1426.88,3137.19,2014,1,1,0,92.59649930907416,0.5264854905573468,4.530170428374022,1075.545831414095,26.605711653615845,0.027848917549516353,12.77487244897959,1.445043758636573,10.06804814641804
Beijing,2013,103.3,17101,44564,21746,27061,1079,775,9240,2125,7.5,59.89,177105,2130618,10037,58036,17186.6,1506.72,2851.72,2014,0,1,-1,83.3435294117647,0.5077647058823529,4.348235294117647,1002.6437647058824,27.31105882352941,0.028183529411764704,11.406631623659338,1.3419858823529411,9.987185111557695
Beijing,2012,103.3,15365,40306,19568.3,26535,1043,790,10318,2078,8.1,59.12,149355,1973442,8226,53510,15446.65,1516.52,2458.5,2014,0,1,-2,71.87439846005775,0.5019249278152069,4.965351299326275,949.6833493743984,25.750721847930702,0.02845043310875842,10.185589375675889,1.1831087584215592,9.881666188962335
Beijing,2011,105.6,13742,36365,17653.3,25672,1046,781,6997,2024,8.1,58.79,134364,1648538,7048,49829,14357.44,1535.96,1890.28,2014,0,1,-3,66.38537549407114,0.516798418972332,3.4570158102766797,814.4950592885375,24.61907114624506,0.029046442687747035,9.347535092059688,0.9339328063241107,9.778678013723475
Beijing,2010,102.4,12368,32132,15420.2,24853,2465,1009,NA,1962,7.7,58.71,119206,NA,NA,NA,13526.57,1641.68,1579.54,2014,0,1,-4,60.757390417940876,1.2563710499490317,NA,NA,NA,0.029923547400611622,8.239468105842795,0.8050662589194699,9.64343361720182
Beijing,2009,98.5,10942,29329,13335.7,23293,2354,1058,3573,1860,8.2,58.67,106600,1137030,7494,41546,10904.37,1520.91,1236.25,2014,0,1,-5,57.31182795698925,1.2655913978494624,1.9209677419354838,611.3064516129032,22.336559139784946,0.03154301075268817,7.169635284139101,0.6646505376344086,9.498199928676703
Beijing,2008,105.1,10052,26918,12167.6,22485,2354,1116,4256,1771,10.3,58.56,98295,1010862,10320,43209,10304.16,1788.34,1027.22,2014,0,1,-6,55.502540937323545,1.329192546583851,2.4031620553359683,570.7859966120835,24.398080180688876,0.0330660643704122,5.761857364930607,0.5800225861095426,9.406531960289
Beijing,2007,102.4,8948,23752,10730.4,13237,1958,1104,NA,1676,10.6,57.82,87621,NA,NA,NA,9509.17,1869.97,882.56,2014,0,1,-7,52.27983293556086,1.168257756563246,NA,NA,NA,0.034498806682577564,5.085199227795099,0.5265871121718376,9.280836113587881
Beijing,2006,100.9,7888,21415,8618.9,12064,1666,1469,NA,1601,10.4,56.58,69700,NA,NA,NA,8142.83,1531.4,697.33,2014,0,1,-8,43.53529044347283,1.0405996252342287,NA,NA,NA,0.03534041224234853,5.317245657568238,0.4355590256089944,9.061712745306046
Beijing,2005,101.5,7041,18775,7327.4,10980,1504,1745,NA,1538,10.6,54.83,60670,NA,NA,NA,6799.85,1136.09,489.59,2014,0,1,-9,39.44733420026008,0.9778933680104032,NA,NA,NA,0.035650195058517554,5.985309262470404,0.31832899869960984,8.899376025272545
Beijing,2004,101,5948,16502,6424.1,9890,1706,2144,931,1493,6.5,49.95,53162,602546,3409,29998,5616.08,695.6,425,2014,0,1,-10,35.60750167448091,1.1426657736101808,0.62357669122572,403.5807099799062,20.092431346282652,0.03345612860013396,8.073720529039678,0.28466175485599465,8.767811822130595
Beijing,2003,100.2,5429,14535,5400.1,9185,556,1362,NA,1456,7,45.45,46328,NA,NA,NA,3728.97,408.41,265.36,2014,0,1,-11,31.818681318681318,0.38186813186813184,NA,NA,NA,0.031215659340659344,9.13045713865968,0.18225274725274726,8.59417275089942
Beijing,2002,98.2,5259,12949,4634.9,9172,513,1866,NA,1423,6,39.57,45495,NA,NA,NA,3150.19,323.1,221.17,2014,0,1,-12,31.97118763176388,0.3605059732958538,NA,NA,NA,0.02780744905130007,9.749891674404209,0.15542515811665494,8.44136990279418
Beijing,2001,103.1,4921,11939,3935.4,8818,344,2173,NA,1385,5,33.65,42925,NA,NA,NA,2855.49,298.25,191.01,2014,0,1,-13,30.9927797833935,0.2483754512635379,NA,NA,NA,0.024296028880866426,9.57414920368818,0.13791335740072203,8.277767807527745
Beijing,2000,103.5,4533,10590,3328,8495,184,2430,NA,1364,3.3,28.03,40246,NA,NA,NA,2461.42,251.65,140.29,2014,0,1,-14,29.505865102639298,0.1348973607038123,NA,NA,NA,0.020549853372434018,9.781124577786608,0.10285190615835776,8.1101268019411
Tianjin,2020,102,25691,47659,14230.8,15151,2780,459,6060,1387,27,57.22,306423,2287717,12001,45227,NA,NA,1089.56,2018,1,1,2,220.92501802451335,2.0043258832011537,4.3691420331651045,1649.3994232155733,32.60778658976208,0.041254506128334534,NA,0.785551550108147,9.56316390875875
Tianjin,2019,102.7,24804,46119,14097.2,15290,2366,476,4676,1385,26.1,53.94,310544,2134320,10825,45685,NA,NA,909.25,2018,1,1,1,224.21949458483755,1.708303249097473,3.376173285198556,1541.0252707581228,32.985559566787,0.03894584837545126,NA,0.6564981949458484,9.553731475086048
Tianjin,2018,102,23065,42976,13411.1,15089,1837,466,4939,1383,25.8,52.33,290620,2528761,11440,53280,NA,NA,685.59,2018,1,1,0,210.13738250180768,1.3282718727404195,3.5712219812002894,1828.4605929139552,38.524945770065074,0.03783803326102675,NA,0.4957266811279827,9.503838001248646
Tianjin,2017,102.1,21754,40278,12468.2,13938,1826,482,5463,1410,26,51.47,254823,2411418,13456,57881,NA,NA,551.44,2018,0,1,-1,180.72553191489362,1.2950354609929078,3.874468085106383,1710.2255319148935,41.05035460992908,0.03650354609929078,NA,0.3910921985815603,9.430936681823699
Tianjin,2016,102.1,20076,37110,11487,13339,2458,530,7300,1443,25.8,51.38,222594,3499551,12019,78336,26654.45,2473.24,552.64,2018,0,1,-2,154.25779625779626,1.7033957033957035,5.058905058905059,2425.191268191268,54.28690228690229,0.035606375606375605,10.777138490401256,0.382979902979903,9.348971240145405
Tianjin,2015,101.7,18482,34101,10889.2,12278,2574,562,6507,1439,25.1,51.29,181328,3526665,11393,84291,27460.49,2665.89,503.44,2018,0,1,-3,126.00972897845726,1.7887421820708826,4.52189020152884,2450.7748436414176,58.576094510076445,0.035642807505211954,10.300683824163789,0.34985406532314106,9.295526751336906
